class,count,pct,label
0,2050,0.029406701859077348,other
1,15435,0.22141094789993115,loop
2,6339,0.09093126004131283,counter_loop
3,2129,0.03053993573559789,smash
4,2638,0.03784140463621758,banana
5,4192,0.06013311911865963,drive
6,6635,0.09517730089511131,push_press
7,1413,0.020269107183842092,flick
8,372,0.005336240532476474,arch
9,794,0.011389717695662153,block_chop
10,11208,0.16077576313977507,chop
11,3522,0.0505221482671563,short_push
12,4522,0.06486688088134038,def_chop
13,7848,0.1125774615561166,block
14,613,0.008793321092494836,lob
15,1,1.4344732614184072e-05,serve_trad
16,1,1.4344732614184072e-05,serve_hook
