prev_pointId,pointId,count,pct
9,0,4950,0.07100642644021116
9,9,4661,0.06686079871471196
9,8,3518,0.050464769336699564
8,9,3426,0.04914505393619463
7,0,3381,0.04849954096855635
8,8,3086,0.04426784484737205
8,0,2995,0.04296247417948129
9,7,2354,0.03376750057378931
5,9,2118,0.030382143676841864
8,7,2083,0.029880078035345422
7,9,1878,0.026939407849437685
7,7,1605,0.023023295845765436
7,8,1584,0.02272205646086757
5,8,1555,0.022306059215056233
5,5,1406,0.020168694055542804
5,0,1391,0.019953523066330043
6,6,1391,0.019953523066330043
5,7,1225,0.01757229745237549
6,9,1215,0.017428850126233648
4,9,1168,0.016754647693366997
9,5,1064,0.015262795501491852
8,5,930,0.013340601331191186
2,9,925,0.013268877668120266
2,5,838,0.012020885930686252
4,0,812,0.011647922882717467
2,2,803,0.01151882028918981
2,8,792,0.011361028230433785
6,5,764,0.010959375717236632
9,6,752,0.010787238925866421
6,0,745,0.010686825797567133
4,7,742,0.01064379159972458
4,8,740,0.010615102134496212
5,6,710,0.01018476015607069
6,8,694,0.009955244434243745
5,4,598,0.008578150103282075
4,5,594,0.008520771172825339
4,6,527,0.007559674087675006
7,5,507,0.007272779435391325
6,7,501,0.00718671103970622
2,0,493,0.007071953178792748
1,9,487,0.0069858847831076425
6,4,469,0.006727679596052329
4,4,463,0.006641611200367225
8,6,456,0.0065411980720679365
9,4,405,0.005809616708744549
1,5,341,0.004891553821436768
2,7,327,0.004690727564838191
1,2,327,0.004690727564838191
8,4,312,0.0044755565756254305
1,8,305,0.004375143447326142
2,6,273,0.003916112003672252
5,2,269,0.0038587330732155153
2,4,260,0.0037296304796878587
7,4,257,0.0036865962818453065
1,0,255,0.0036579068166169384
7,6,237,0.003399701629561625
1,7,217,0.0031128069772779435
1,4,189,0.0027111544640807893
2,1,179,0.0025677071379389487
1,6,168,0.002409915079182924
3,9,150,0.002151709892127611
1,1,148,0.0021230204268992427
0,0,145,0.0020799862290566905
3,5,122,0.0017500573789304566
9,2,116,0.0016639889832453523
3,2,100,0.0014344732614184072
8,2,100,0.0014344732614184072
3,0,96,0.001377094330961671
4,2,92,0.0013197154005049345
3,8,83,0.001190612806977278
6,2,70,0.001004131282992885
5,1,67,0.0009610970851503328
3,6,61,0.0008750286894652283
3,7,54,0.0007746155611659399
2,3,51,0.0007315813633233877
3,1,47,0.0006742024328666513
4,1,45,0.0006455129676382832
0,9,45,0.0006455129676382832
3,4,40,0.0005737893045673629
6,1,40,0.0005737893045673629
7,2,38,0.0005450998393389947
5,3,31,0.00044468671103970624
0,8,29,0.00041599724581133806
9,3,27,0.00038730778058296994
1,3,25,0.0003586183153546018
9,1,24,0.00034427358274041774
4,3,22,0.00031558411751204956
0,5,19,0.00027254991966949737
6,3,16,0.00022951572182694515
8,1,15,0.00021517098921276106
0,7,14,0.000200826256598577
7,1,14,0.000200826256598577
8,3,12,0.00017213679137020887
3,3,11,0.00015779205875602478
0,6,8,0.00011475786091347258
7,3,8,0.00011475786091347258
0,2,5,7.172366307092036e-05
0,1,3,4.303419784255222e-05
0,4,2,2.8689465228368144e-05
