prev_actionId,actionId,count,pct
10,1,4469,0.06410661005278862
1,13,4007,0.05747934358503558
10,10,3912,0.056116593986688085
15,10,2938,0.0421448244204728
13,1,2506,0.035947899931145284
1,12,2182,0.03130020656414965
1,2,2086,0.029923112233187974
2,2,2064,0.029607528115675925
12,1,2028,0.0290911177415653
1,6,1602,0.022980261647922884
6,6,1579,0.02265033279779665
15,1,1549,0.02221999081937113
2,13,1377,0.019752696809731466
15,11,1336,0.01916456277254992
15,4,1252,0.017959605232958458
0,10,1188,0.017041542345650678
1,5,1048,0.015033279779664907
11,10,985,0.014129561624971311
12,10,886,0.012709433096167087
6,2,853,0.012236056919899013
6,1,822,0.011791370208859307
5,5,796,0.011418407160890522
6,5,787,0.011289304567362865
0,4,697,0.009998278632086298
11,11,693,0.009940899701629561
11,1,678,0.0097257287124168
13,6,661,0.009481868257975671
10,12,655,0.009395799862290567
5,6,591,0.008477736974982787
0,11,587,0.00842035804452605
6,13,587,0.00842035804452605
16,10,569,0.008162152857470737
4,6,548,0.007860913472572872
1,1,531,0.007617053018131742
1,0,522,0.0074879504246040856
5,13,521,0.0074736056919899015
12,11,512,0.007344503098462245
0,1,501,0.00718671103970622
15,7,477,0.006842437456965802
12,3,477,0.006842437456965802
4,2,466,0.006684645398209777
4,13,461,0.006612921735138857
2,6,417,0.005981753500114758
3,13,416,0.005967408767500574
16,1,413,0.005924374569658022
5,1,403,0.005780927243516181
13,5,401,0.005752237778287813
15,12,395,0.005666169382602709
10,3,376,0.0053936194629332105
7,1,333,0.004776795960523296
15,6,333,0.004776795960523296
2,0,330,0.004733761762680744
9,1,314,0.004504246040853799
4,1,308,0.004418177645168694
11,7,307,0.00440383291255451
3,0,306,0.004389488179940326
13,13,286,0.004102593527656645
3,12,285,0.004088248795042461
5,2,273,0.003916112003672252
4,5,269,0.0038587330732155153
14,3,251,0.003600527886160202
17,10,245,0.0035144594904750973
13,3,242,0.003471425292632545
0,7,240,0.003442735827404177
1,9,236,0.0033853568969474408
5,0,235,0.0033710121643332567
2,5,233,0.0033423226991048886
11,12,228,0.0032705990360339682
10,5,227,0.003256254303419784
7,2,226,0.0032419095708056
6,0,225,0.003227564838191416
1,3,220,0.0031558411751204957
1,14,220,0.0031558411751204957
3,14,215,0.0030841175120495754
11,4,208,0.002983704383750287
3,5,197,0.0028259123249942623
7,6,183,0.002625086068395685
13,2,176,0.0025246729400963965
9,10,173,0.0024816387422538443
6,12,170,0.002438604544411292
5,3,168,0.002409915079182924
0,6,159,0.0022808124856552674
14,1,159,0.0022808124856552674
18,10,159,0.0022808124856552674
16,4,153,0.002194744089970163
16,7,151,0.002166054624741795
7,13,148,0.0021230204268992427
16,11,139,0.001993917833371586
13,0,138,0.001979573100757402
15,9,135,0.0019365389029148497
16,6,135,0.0019365389029148497
10,7,135,0.0019365389029148497
8,1,133,0.0019078494376864815
10,6,130,0.0018648152398439294
